qid,text
61,"I love you"
62,"My donkey is okay"
63,"I watched it"
64,"Going sleeping - so tired"
65,"Forever is a long time"
66,"Ur always right!"
67,"Why do I only sleep 3 hours a night?"
68,"Diet coke is my favorite"
69,"forgot to submit my homework again"
70,"I love golden retrievers"
71,"Congrats, you big idiot!"
72,"Socks is all I need"
73,"Do you even like me?"
74,"Columbus, here I come!"
75,"Agree, I listened to you"
76,"Why did you do that?"
77,"I wanna wear my Converse"
78,"Snow is so beautiful"
79,"In the mood to sleep for 12 hours straight"
80,"Prolly have to wait till next year for a big surprise"
81,"North Carolina is where I'm from!"
82,"Support is all I need"
83,"I miss you so much it hurts"
84,"Creepy to watch me, but missin you!"
85,"I'm sad I can't see you tomorrow"
86,"Art is my passion"
87,"Up and off to get work done"
88,"Can't wait to marry you my love"
89,"Wow, this is sensational! 4GB!"
90,"An apple a day keeps the doctor away"
